kind,bucket,n,wei
mints_dom,1,2,112158408000000000000000000
mints_dom,10,5,116054371004328030301691314
mints_dom,11,5,172763153000000000000000000
mints_dom,12,1,42989079000000000000000000
mints_dom,13,4,117735198000000000000000000
mints_dom,14,4,88003973000000000000000000
mints_dom,15,2,5949734000000000000000000
mints_dom,16,3,46380162591542995207235322
mints_dom,17,7,339781261000000000000000000
mints_dom,18,6,160904503000000000000000000
mints_dom,19,4,83128818000000000000000000
mints_dom,2,5,46201187271778850721008959
mints_dom,20,3,129037735000000000000000000
mints_dom,21,4,71022008000000000000000000
mints_dom,22,4,194356162000000000000000000
mints_dom,23,5,480917574000000000000000000
mints_dom,24,8,487465614000000000000000000
mints_dom,25,4,193553132000000000000000000
mints_dom,26,4,136758331000000000000000000
mints_dom,27,3,61125374000000000000000000
mints_dom,28,9,533428715761637250989396742
mints_dom,29,7,138123197478823065659737105
mints_dom,3,6,371369593000000000000000000
mints_dom,30,5,72824331000000000000000000
mints_dom,31,3,49783306000000000000000000
mints_dom,4,5,102652105000000000000000000
mints_dom,5,4,83321802520000000000000000
mints_dom,6,2,28418000000000000000000000
mints_dom,7,8,127549658000000000000000000
mints_dom,8,5,141627702000000000000000000
mints_dom,9,9,207566562591542995207235322
mints_dow,1,27,392113220459192871437170917
mints_dow,2,31,904777296761637250989396742
mints_dow,3,36,1774146501520000000000000000
mints_dow,4,20,1035334085000000000000000000
mints_dow,5,32,836579647478823065659737105
transfers_dom,1,2648,511409186906322321072604640
transfers_dom,10,4778,1162722665692914153803269879
transfers_dom,11,3632,1064875620257210955847674280
transfers_dom,12,4004,648069129091899600809358270
transfers_dom,13,3790,1404328849721596953150211963
transfers_dom,14,3377,1130493083591017888073551195
transfers_dom,15,4135,437067944664052102844623565
transfers_dom,16,3549,680494917219243485686909253
transfers_dom,17,4425,2196943895929752509323338403
transfers_dom,18,3377,704650883605665013124486050
transfers_dom,19,5031,1548936547849754530688761451
transfers_dom,2,3975,886886664525949004782056784
transfers_dom,20,4704,1015144877732530248373111983
transfers_dom,21,3215,1300123029064563081136989875
transfers_dom,22,3203,1657168250131935918051813097
transfers_dom,23,4347,3724469425051712976922353653
transfers_dom,24,3545,2203602879275367046518330768
transfers_dom,25,3733,1397120336490403601202184194
transfers_dom,26,3199,1282020529060760222042037501
transfers_dom,27,3620,924385624546727806049888542
transfers_dom,28,2552,2275696926370695036823022103
transfers_dom,29,2976,2449178881203860717304558854
transfers_dom,3,4686,2131828648949053649518378276
transfers_dom,30,3036,1321677604643898003564569558
transfers_dom,31,2802,478523734764007530757773469
transfers_dom,4,3648,2410207118209904024680048297
transfers_dom,5,2794,1771142726778560162599810482
transfers_dom,6,2507,696727373141348694560831988
transfers_dom,7,3032,880745276234476441182289263
transfers_dom,8,2344,1178908659164621157646689999
transfers_dom,9,3405,2107048383894389590222385180
transfers_dow,1,19635,5366691321865804506527412790
transfers_dow,2,18051,6871729875699941809906749579
transfers_dow,3,16152,10982082338608056974424515797
transfers_dow,4,15591,10007626471080960121874921939
transfers_dow,5,15583,7423534303761849917178119087
transfers_dow,6,10890,1174245344669175210967275491
transfers_dow,7,14167,1756690018078405887484918132
transfers_month,1,25093,4630782091729714485442893249
transfers_month,10,1440,2610821770562225238603240719
transfers_month,11,17850,4468826462758447517758901342
transfers_month,12,14242,5950052197631754657976293210
transfers_month,2,18847,3088820634427603685069801342
transfers_month,3,12854,3888732982170624700352037762
transfers_month,4,4821,2481815504356217715699534459
transfers_month,5,5744,1668304890976547070669125821
transfers_month,6,1954,2195185138506615427524234782
transfers_month,7,3413,8607481413824224339535393278
transfers_month,8,3352,2466837924190330809200114990
transfers_month,9,459,1524938662629888780532341861
